Name,Area,Rating,Price,Cuisine
Main Street - The Residency Towers,The Residency Towers T. Nagar,3.9,"₹2,600 for two","European, Chinese, Japanese, North Indian, Thai, Beverages, Shake"
Madras Glocal Kitchen - MGK,Perungudi,3.7,₹500 for two,"Chinese, North Indian, Biryani, South Indian, Seafood, Rolls, Lebanese"
Amaravathi,Gopalapuram,3.8,₹700 for two,"Andhra, Biryani, South Indian"
The Alcove Resto Bar,Thuraipakkam,3.7,"₹1,500 for two","Bar Food, Chinese, Continental, South Indian"
Seasonal Tastes,The Westin Velachery,4.3,"₹2,500 for two","Biryani, Asian, Japanese, Burger, Pizza, Juices, Desserts, Bakery"
Alchemy Bar & Lounge,Hotel Rajpark Alwarpet,4.5,"₹2,000 for two","Continental, Finger Food, Seafood, Fast Food"
Padmavathi Andhra Mess,Perungudi,3.3,₹300 for two,"South Indian, Biryani, North Indian"
Shyam's Bombay Halwa House,T. Nagar,4.5,₹600 for two,"North Indian, Chinese, Fast Food, Beverages, Shake"
Pizza Castle,Kolathur,3.8,₹350 for two,"Pizza, Fast Food, Wraps, Burger, Sandwich, Shake"
Southern Chinese Restaurant,Anna Nagar East,3.9,₹600 for two,"Chinese, Sichuan"
Pushpam's,Potheri,3.8,₹600 for two,"North Indian, Mughlai"
Dahlia,Nungambakkam,4.2,"₹1,500 for two",Japanese
Meen Satti,Ekkaduthangal,3.1,"₹1,500 for two","South Indian, Seafood"
Hungry Cars,Egatoor,4,₹800 for two,"Biryani, Chinese, Burger, Asian, Cafe, South Indian, Shake, Sichuan"
Kakada Ramprasad,Kilpauk,4.3,₹400 for two,"Mithai, Street Food, Chinese, North Indian, Fast Food"
Sangeetha Veg Restaurant,Adyar,4.3,₹700 for two,"South Indian, North Indian, Chinese, Fast Food, Desserts, Beverages, Juices, Shake"
Hotel Sindhu Fast Food,Pallikaranai,3.3,₹200 for two,"South Indian, North Indian"
Fusilli Reasons,Kilpauk,4.7,₹400 for two,"Fast Food, Pasta, Beverages"
Chili's American Grill & Bar,Phoenix Market City Velachery,4.4,"₹1,400 for two","American, Mexican, Burger, Tex-Mex, Desserts"
Alienstone Anna Nagar,Anna Nagar East,2.3,₹600 for two,"Fast Food, Beverages, Burger, Wraps, Shake"
Flip Flops Beach Shack & Cafe,Mahabalipuram,3.8,₹700 for two,"Seafood, Italian, Chinese, North Indian, South Indian, Desserts, Beverages"
Lyfe By Soul Garden Bistro,Kilpauk,4.1,₹800 for two,"North Indian, Continental, Chinese, Fast Food, Healthy Food, Desserts, Beverages, Sichuan"
Golden Dragon - Taj Coromandel,Taj Coromandel Nungambakkam,4.4,"₹2,800 for two",Chinese
Amdavadi,T. Nagar,4,₹600 for two,"Gujarati, Street Food, Beverages"
Hotel Palmgrove - Menaka,Hotel Palmgrove Nungambakkam,4.2,₹600 for two,"North Indian, South Indian, Chinese, Beverages"
La Pino'z Pizza,Velachery,3.1,₹900 for two,"Pizza, Italian, Fast Food"
Sandy's Chocolate Laboratory,Nungambakkam,4.5,"₹1,400 for two","Continental, Cafe, Italian, Desserts, Shake"
Asian Station,Anna Nagar East,4.3,"₹1,500 for two","Asian, Sushi, Desserts, Sichuan"
Cosmic Cravings,Velachery,2.5,₹400 for two,"Fast Food, Pizza, Wraps, Sandwich, Desserts, Shake, Beverages"
The Moon And Sixpence - Hablis Hotel,Hablis Hotel Guindy,4.2,"₹2,500 for two","Irish, Finger Food"
Anise - Taj Coromandel,Taj Coromandel Nungambakkam,4.1,"₹3,000 for two","North Indian, South Indian, Italian, Mediterranean, Thai, Seafood"
Kaidi Kitchen,Mylapore,4.2,"₹1,000 for two","North Indian, Chinese, Fast Food, Sichuan"
Copper Kitchen,Porur,4.3,"₹1,000 for two","Biryani, Chinese, Chettinad, Seafood, Lebanese, BBQ, Shake"
Brewklyn,Besant Nagar,3.8,₹400 for two,"Fast Food, Continental, Momos, Desserts, Beverages, Shake"
China XO - The Leela Palace,The Leela Palace MRC Nagar,4.3,"₹4,000 for two",Chinese
Pizza Hut,Ashok Nagar,3.4,₹600 for two,"Pizza, Fast Food, Desserts, Beverages, Pasta, Ice Cream"
Teppan,Alwarpet,4.3,"₹2,000 for two",Japanese
COLLAGE By Toscano,VR Mall Anna Nagar,3.9,₹900 for two,"Italian, North Indian, Chinese, Kebab, Desserts, Beverages, Shake"
Savoury Sea Shell,Anna Nagar East,4.2,"₹1,000 for two","Arabian, Chinese, North Indian, Lebanese, Salad, Shake, Sichuan"
Ravi Mehra's Delhi Hotel,Kilpauk,3.8,"₹1,200 for two","North Indian, Chinese, Beverages, Fast Food, Desserts, Sichuan"
Salt,Forum Vijaya Mall Vadapalani,4.4,"₹1,200 for two","North Indian, Mughlai, Chettinad, Beverages, Desserts"
Cafe Arabica,Anna Nagar East,4.4,₹800 for two,"Fast Food, Beverages, Desserts, Shake"
Yaa Mohaideen Biryani,Navallur,3,₹800 for two,"Biryani, Chinese, Chettinad, North Indian, Desserts, Beverages, Juices, Shake"
Kovai Alankar Vilas,Nandanam,3.7,₹450 for two,"South Indian, Mughlai, Seafood, Chinese"
Guntur Gongura,Sholinganallur,4,₹500 for two,"Biryani, Andhra, North Indian, Chinese"
Hibiscus Cafe,Injambakkam,3.8,"₹1,000 for two","Continental, Chinese, Salad, Pasta"
Bombay Halwa House,Kilpauk,4.2,₹600 for two,"North Indian, Chinese, Biryani, Desserts"
Lassi Shop,Meenambakkam,New,₹250 for two,"Ice Cream, Desserts, Beverages"
Light Moon Kitchen,Teynampet,3.9,₹400 for two,"Chettinad, Mughlai, Chinese, Fast Food, Sichuan, Biryani"
Mirchi Express,Egmore,3.3,₹800 for two,"Mughlai, Biryani, North Indian, Chinese, Desserts, Beverages, Arabian"
Anu's Punjabi Dhaba,Gopalapuram,4.1,₹700 for two,"North Indian, Chinese, Kebab, Biryani, Mughlai, Sichuan"
New Seoul Hotels,Alwarpet,4,"₹1,800 for two","Korean, Japanese"
Tulips - Green Park Hotel,Green Park Hotel Vadapalani,3.9,"₹1,500 for two","North Indian, Tamil, Chinese, Desserts, Sichuan"
Sree Akshayam,Abhiramapuram,3.5,₹400 for two,"Mithai, Bakery, Street Food, Desserts, Fast Food, Shake, Sichuan"
Tiktalk Cafe,Anna Nagar West,3.7,₹400 for two,"Fast Food, Beverages"
Superstar Pizza,Anna Nagar East,4.4,₹700 for two,"Pizza, Italian, Fast Food, Beverages"
Fazari,Chromepet,4.3,₹750 for two,"Arabian, BBQ, North Indian, Chinese, Juices, Shake, Sichuan"
The Wharf 2.0 - Radisson BLU  Templebay,Radisson Blu Temple Bay Mamallapuram,4.4,"₹3,000 for two","Seafood, Mediterranean, Italian, North Indian, Fast Food, Chinese, Beverages"
Sumaatra Hotel Pure Veg,Selaiyur,2.7,₹250 for two,"Chinese, North Indian, South Indian, Sichuan"
Shri Rajasthani Dhaba,Anna Nagar West,4.5,₹500 for two,"Rajasthani, North Indian, Desserts"
Square Ruth,Arumbakkam,3.6,₹400 for two,"American, Mexican, Fast Food"
24 The Spirit,Nungambakkam,2.6,"₹1,900 for two","North Indian, South Indian, Chinese, Continental"
SS Hyderabad Biryani,Kodambakkam,4.3,₹800 for two,"Biryani, Chinese, North Indian, Lebanese, Seafood"
Sigree,Anna Nagar East,4.4,"₹1,200 for two","North Indian, Kebab, Mughlai, Desserts, Beverages"
China Town,Gopalapuram,4.2,"₹1,200 for two","Chinese, Seafood, Beverages, Sichuan"
Coffee Trotter,Alwarpet,3.9,₹500 for two,"Cafe, Fast Food"
Grillbox @ Home,Mylapore,3.5,₹450 for two,"North Indian, South Indian, Fast Food, Chinese, BBQ"
Saif Ice Cream and Chat,George Town,3.7,₹400 for two,"Sandwich, Ice Cream"
AHP Anna Nagar Hot Pot,Anna Nagar West,2.3,₹350 for two,"South Indian, Andhra, Fast Food, Sichuan"
Lassi Shop,Ashok Nagar,3.8,₹200 for two,"Beverages, Juices, Sandwich, Ice Cream, Desserts, Fast Food"
Pedreno's,Mylapore,4.3,"₹1,200 for two","Chinese, American, Italian, Mexican, Fast Food, Beverages"
Marc Ann Grill,Semmancheri,3.4,₹300 for two,"South Indian, North Indian, Kebab, BBQ"
Twisty Tails,Abhiramapuram,3.1,"₹1,000 for two","Chinese, North Indian, Fast Food, Beverages"
Ambur Star Briyani,T. Nagar,4,₹600 for two,"Biryani, Chinese, North Indian, Mughlai, Sichuan"
Shout Bar & Cafe,Ramapuram,4,"₹1,700 for two","Bar Food, Chinese, Continental, North Indian"
"Waterside - Feathers, A Radha Hotel",Feathers A Radha Hotel,4,"₹2,500 for two","Vietnamese, South Indian, Fast Food, North Indian"
TIKI TAKO,Okkiyampet,3.8,"₹2,000 for two","Chinese, Burger, Sandwich, Bar Food, Desserts"
Santrupti Vegeterian,Ramapuram,4.2,"₹1,000 for two","North Indian, Chinese, Street Food, Mughlai, Ice Cream, Desserts, Beverages, Shake"
London Dessert Co,Anna Nagar East,3.5,₹400 for two,"Ice Cream, Desserts, Fast Food, Beverages"
Just Bake,Mogappair,2.7,₹250 for two,Bakery
99 Bar And Grill,Adyar,3.9,"₹1,000 for two","Continental, Chinese"
Mexicano Griller,Nungambakkam,4.1,₹950 for two,"Mexican, Continental, Tex-Mex"
99 Bar And Grill,Adyar,3.9,"₹1,000 for two","Continental, Chinese"
Shree Mithai,Anna Nagar East,4.4,₹350 for two,"Mithai, Street Food, Sandwich, Fast Food, Beverages, Shake"
Tovo,Mylapore,4.4,"₹1,600 for two","American, Mexican, Steak, Beverages, Desserts"
Kunafa House,Nungambakkam,3.8,₹400 for two,Desserts
Junior Kuppanna,Nungambakkam,3.5,₹600 for two,"South Indian, Chinese, Juices, Ice Cream, Beverages, Sichuan"
The Verandah - Taj Connemara,Anna Salai,4,"₹2,500 for two","Continental, South Indian, Italian, Seafood, North Indian"
Pangali Virundhu,Ambattur,4.1,₹450 for two,"South Indian, Chettinad, Beverages"
New Pattukottai Kamatchi Mess,T. Nagar,4.5,₹600 for two,"South Indian, Chettinad, Ice Cream, Beverages"
Rasavid,Velachery,3.7,₹800 for two,"Andhra, Hyderabadi, Chinese, Lebanese, Desserts, Beverages, Shake"
Al Souk,Nungambakkam,4.1,"₹1,100 for two","Lebanese, Turkish, Middle Eastern, Beverages, Mediterranean"
Sunil Chat Corner,Washermenpet,3.3,₹200 for two,"Fast Food, Sandwich, Street Food"
KMS Hakkim Kalyana Biriyani,Nungambakkam,2.5,₹500 for two,"North Indian, Chinese, Lebanese, Biryani, BBQ, Beverages, Sichuan"
Teru,Alwarpet,3.5,₹200 for two,"South Indian, Street Food"
Cafe H,Anna Nagar West,4.1,₹500 for two,"Fast Food, Shake, Beverages, Italian, Sandwich, Burger"
Diff 42 - Resto Lounge,Medavakkam,4.1,"₹1,000 for two","Continental, North Indian, Chinese, Finger Food"
Spice It - IBIS  OMR,IBIS OMR,4.1,"₹1,100 for two","Tibetan, Mexican, North Indian, Chinese, South Indian, Beverages"
Brownie Heaven,Royapettah,4.9,₹400 for two,"Desserts, Bakery, Ice Cream, Shake, Beverages"
Mozza,Anna Nagar East,4,₹900 for two,"Italian, Continental, Mexican, Chinese, North Indian, Beverages"
The Brick Oven,The Accord Metropolitan T. Nagar,4,"₹3,000 for two","North Indian, Chinese, Continental"
Masaledaar Firangi Tadka,Velachery,4,₹650 for two,"North Indian, Kebab, Chinese, Beverages"
The Cascade,Besant Nagar,4.1,"₹1,000 for two","Seafood, Chinese, Asian, Thai, Momos, Sichuan"
The Spice - Hablis Hotel,Hablis Hotel Guindy,3.9,"₹2,000 for two","North Indian, Salad, Asian"
The Asian Hive,Anna Nagar East,3.7,₹550 for two,"Chinese, Desserts, Sichuan"
Campari Bar,Porur,4,"₹1,500 for two","Finger Food, Seafood, South Indian"
Bike & Barrel - The Residency Towers,The Residency Towers T. Nagar,4.1,"₹2,500 for two",Finger Food
Al Maza,Anna Nagar East,4.6,"₹1,000 for two","Arabian, Mughlai, North Indian, Biryani, Seafood, Kebab, Desserts, Beverages"
Courtallam Border Rahmath Kadai,T. Nagar,4.1,₹650 for two,"South Indian, Biryani, Chettinad"
Mascarpone Cafe,Kanathur,4.1,"₹1,200 for two","Continental, Italian, Thai"
NICO Asian Bar & Café,Novotel OMR,3.9,"₹1,000 for two","Cafe, Continental, American, Malaysian, Thai, Chinese"
Ashvita Bistro,RA Puram,4,"₹1,000 for two","Cafe, Fast Food, Chinese, Healthy Food, Mexican, Momos, Burger, Sandwich"
Arab Street,Ashok Nagar,4.1,₹800 for two,"Arabian, Seafood, Lebanese, Fast Food, Italian"
Fat Monkey,Ashok Nagar,4,"₹1,500 for two","Thai, Continental, Chinese, Beverages, Sichuan"
Undercover,Guindy,3.9,"₹1,400 for two","North Indian, South Indian, European, Fast Food, Beverages"
Spice Haat - Hyatt Regency,Teynampet,4.1,"₹3,100 for two","North Indian, Fast Food, Continental, Sichuan"
Tandoori Bay,Mogappair,3.4,₹450 for two,"North Indian, Chinese, Biryani"
The Indonese Kitchen,Taramani,3.4,₹450 for two,"Chinese, North Indian, Fast Food, Momos, Sandwich, Wraps"
Down Sterling,Nungambakkam,3.6,"₹1,800 for two","Thai, Continental, Chinese, Salad, Asian"
Madurai Military Mess,Alandur,3.7,₹500 for two,South Indian
Moti Mahal Barbecues,Egatoor,2.4,"₹1,400 for two","North Indian, Chinese, South Indian"
Hokkaido,Alwarpet,4.1,"₹1,000 for two",Japanese
Burger Man,Porur,3.4,₹500 for two,"Burger, Fast Food, Salad, Desserts, Beverages"
Frenchy Crunchy,Virugambakkam,3.7,₹350 for two,"Burger, Fast Food, Beverages, Shake"
The Hangover,Porur,3.3,₹400 for two,"Arabian, Chinese, BBQ"
Masaledaar Desi Rasoi,Egmore,4.2,₹600 for two,"North Indian, Chinese"
Cinnamon House,Nungambakkam,4.1,₹300 for two,"Cafe, Fast Food, Shake"
The Butterfly Effect Cafe,Nandanam,3.7,₹550 for two,"French, Pasta, Cafe, Pizza, Sandwich, Fast Food, Desserts, Beverages"
SPR Food Court,Kodambakkam,3.5,₹200 for two,"Burmese, Burger, Fast Food, Street Food"
Paradise Biryani,Poonamalle,4.1,₹400 for two,"Biryani, Mughlai, Desserts, Beverages"
Biggies Burger,Anna Nagar East,3.6,₹300 for two,"Burger, Fast Food, Beverages"
Cook Gramam,Anna Nagar West,4.2,₹600 for two,"South Indian, Tamil, Desserts, Beverages"
Parvathi Bavan Sweets,Anna Nagar West,3,₹450 for two,"Mithai, Street Food, North Indian, South Indian, Chinese"
Alien Stone,Nandanam,3.4,₹500 for two,"Fast Food, Beverages"
Dr Bubbles,Anna Nagar East,3,₹300 for two,"Beverages, Shake, Waffle, Bubble Tea"
Sera - The Tapas Bar & Restaurant,Gopalapuram,4.4,"₹1,600 for two","Spanish, Pizza, Pasta, Mexican, Continental, Finger Food, Italian, Seafood"
Madrasi Foodie,Arumbakkam,3.3,₹300 for two,"Fast Food, Street Food, Pizza, Burger, Sandwich, Beverages, Pancake, Ice Cream"
Bakya Veg Restaurant,Valasaravakkam,3.1,₹250 for two,"South Indian, North Indian, Chinese, Beverages, Shake, Sichuan"
New Andhra Meals Hotel,T. Nagar,4,₹650 for two,"Andhra, North Indian, South Indian, Chinese, Beverages, Sichuan"
Shree Konar Vilas,Anna Nagar West,2.7,₹600 for two,"Kerala, Biryani"
Lotus - The Park,The Park Nungambakkam,4.2,"₹2,600 for two",Thai
Cream Centre,RA Puram,4.4,"₹1,600 for two","North Indian, Fast Food, Chinese, Street Food"
Kozhi.in,Thiruvanmiyur,3.2,₹250 for two,"Sandwich, Burger, Fast Food"
Chai Sutta Bar,Gopalapuram,3.4,₹500 for two,"Tea, Fast Food, Street Food, Sandwich, Pizza, Burger, Coffee, Beverages"
Hola,Citadines,4.2,"₹1,200 for two","Chinese, North Indian, Italian, Mexican, Shake, Drinks Only, Sichuan"
Amazon Jungles,Perungudi,4,₹900 for two,"Chinese, North Indian, Biryani, Desserts, Mughlai, Beverages, Sichuan"
Thaligai,Mylapore,4.2,₹400 for two,"South Indian, Desserts, Beverages"
Animal Kingdom,Adyar,4.1,"₹1,300 for two","North Indian, Chinese, Continental, Thai, South Indian"
Yugan Soups & Chat Corner,Madipakkam,2.9,₹250 for two,Fast Food
Al Taj Biriyani,Triplicane,3.2,₹600 for two,"Biryani, Chinese, North Indian, Lebanese, BBQ, Kebab"
Brunch Bowl,Vadapalani,3.3,₹400 for two,"Burger, Pizza, Fast Food"
The Chocolate Room- Adyar,Adyar,3.6,₹600 for two,"Desserts, Sandwich, Fast Food, Beverages"
Sherlock's Pub,Hotel Abu Palace Egmore,3.8,"₹1,300 for two","Continental, North Indian, Chinese"
Daily Dose,Tiruvottiyur,3.4,₹250 for two,"Lebanese, Sandwich, Chinese, BBQ, Beverages, Ice Cream, Sichuan"
Piazza Pizza By Little Italy,Anna Nagar West,2.8,₹500 for two,Italian
Mughal Biriyani,Besant Nagar,3.9,₹400 for two,"North Indian, Chinese, Biryani, Arabian, Seafood, Sichuan"
Kiteblu Café,Tambaram,3.7,₹700 for two,"Cafe, Continental, Fast Food, Beverages"
Ayur Square,Velachery,4.1,"₹1,000 for two","North Indian, South Indian, Continental, Street Food, Beverages"
7 Star Roll & Pasta,Teynampet,3.4,₹400 for two,"Chinese, Continental, Rolls, Sichuan"
Bistro 1427,Velachery,4,₹800 for two,"Mexican, Italian, Fast Food, Chinese, Kebab, North Indian, Beverages, Desserts"
Waf Bites,K.K. Nagar,4.1,₹300 for two,"Desserts, Beverages"
Food Exchange - Novotel  Chamiers Road,Novotel Nandanam,4.2,"₹1,200 for two","Continental, Italian, North Indian, Kerala, Beverages"
Jingle Bells,Avadi,3.5,₹350 for two,"Fast Food, Pizza, Wraps, Sandwich, Burger, Beverages"
Coco Melon Cafe,Medavakkam,3.2,₹250 for two,"Fast Food, Beverages, Juices, Shake"
Tea Time,Maduravoyal,3.4,₹150 for two,"Beverages, Shake"
Cafe Mercara Express - ITC Grand Chola,ITC Grand Chola Guindy,4.3,"₹2,500 for two","Cafe, Continental, North Indian, Fast Food, South Indian"
Cocoa & Creme,T. Nagar,2.3,₹500 for two,"Bakery, Desserts, Fast Food"
Madurai Sri Thevar Hotel,T. Nagar,3.6,₹350 for two,"Biryani, Chinese, South Indian"
Finding Rumi,Nandanam,New,"₹1,100 for two","Mediterranean, North Indian"
Cake Walk,Nungambakkam,4.2,₹300 for two,"Bakery, Desserts"
Layalee,Ekkaduthangal,4.4,₹900 for two,"Arabian, BBQ, Seafood, Chinese, Continental, Thai, Sichuan"
Spiceshore Restaurant,Saidapet,New,₹400 for two,Biryani
Crunchy Snackers,Ekkaduthangal,3.2,₹200 for two,"Sandwich, Pizza, Fast Food"
Chinese Wok - Wok Express,Selaiyur,3.6,₹350 for two,"Chinese, Asian, Momos, Sichuan"
Citrus Cafe - Lemon Tree,Lemon Tree Hotel Guindy,2.8,"₹1,700 for two","Continental, North Indian, European, American"
House Of Paratha,Sholinganallur,3.9,₹200 for two,North Indian
The Noodle Theory,Adyar,4.1,₹400 for two,"Chinese, Thai, Asian, Beverages"
Fresh Pressery cafe,Thousand Lights,3.8,₹950 for two,"Cafe, Italian, Healthy Food, Desserts, Beverages"
Kebab Court,Akkarai,3.1,₹650 for two,"North Indian, Chinese, Kebab, Desserts"
Stix - Hyatt Regency,Hyatt Regency Teynampet,4.1,"₹2,200 for two","Italian, Asian, Continental, North Indian, Desserts, Sichuan"
Tasty China,Hotel Ashok Residency Poonamalle,3.7,₹800 for two,"Chinese, Seafood"
The Cheroot Malt & Cigar Lounge - ITC Grand Chola,ITC Grand Chola Guindy,4.1,"₹3,000 for two",Finger Food
Kairali Kerala Mess,Kodambakkam,3.7,₹350 for two,"Kerala, South Indian"
Dine N Fun,Medavakkam,4.1,₹450 for two,"South Indian, North Indian, Chinese, Sichuan"
Vrindavan,New Woodlands Hotel Mylapore,4.2,₹700 for two,"North Indian, South Indian, Chinese, Continental, Beverages, Desserts, Shake"
Chin Chin - The Residency,The Residency T. Nagar,4.1,"₹1,500 for two","Thai, Chinese, Malaysian, Desserts"
Momo Sa-Khang By Kailash Kitchen,Choolaimedu,4.8,₹350 for two,"Momos, Chinese, Beverages"
Tibet Momo - World Class Pan Asian Cuisine,Mylapore,2,₹500 for two,"Momos, Chinese, Sichuan, Asian, Tibetan"
Malgudi - The Savera Hotel,The Savera Hotel RK Salai (Cathedral Road),4,"₹2,500 for two","South Indian, Kerala, Tamil, Andhra, Biryani, Seafood, Desserts, Beverages"
Hotel Runs,Adyar,4,₹650 for two,"North Indian, Chinese, Seafood, Biryani, Shake, Sichuan"
Fuel Juice & Pasta Bar,Kilpauk,3.9,₹300 for two,"Juices, Beverages, Momos, Desserts, Pasta, Pizza, Waffle, Salad"
Tuscana Pizzeria,Nungambakkam,4.2,"₹1,200 for two","Italian, Pizza, Shake"
House Of Chats,Perambur,3.8,₹350 for two,"Street Food, Fast Food, Sandwich, Pizza, Shake"
Pizza On Fire,Avadi,3.3,₹300 for two,Pizza
Jang Won Korean And Japanese Barbecue Restaurant,Guindy,3.6,"₹1,500 for two","Japanese, Korean"
Seacrest MGM Beach Restobar,Muttukadu,3.6,"₹1,800 for two","Chinese, Continental, North Indian, South Indian, Seafood"
The Old Mirchi Biryani,Thuraipakkam,4.2,₹850 for two,"Seafood, North Indian, Chinese, Andhra, Biryani"
Curry Box,Anna Nagar West,4,₹450 for two,"Chettinad, South Indian, Chinese, Sichuan"
Moon Rakers Restaurant,Mahabalipuram,3.6,₹700 for two,"Seafood, North Indian, Chinese, Italian, South Indian, Beverages"
Andhikkadai,Velachery,4.6,₹300 for two,"South Indian, Beverages, Shake"
Ammachi Veedu,Velachery,3.7,₹500 for two,"Kerala, Biryani, Desserts"
Shaack,Anna Nagar East,4.2,₹900 for two,"Asian, Continental, Italian, South Indian, Desserts, Beverages, Sichuan"
Meat And Eat,Mogappair,3.5,₹500 for two,"Burger, Biryani, Fast Food"
Faruuzi Multicuisine Restaurant,Madipakkam,3.6,"₹1,000 for two",North Indian
Taj Biriyani & Birinji,Kolathur,3.7,₹250 for two,"Biryani, Fast Food"
Waffle And More,Perambur,New,₹250 for two,"Desserts, Waffle"
Aruvi Heaven's Food,Medavakkam,New,₹200 for two,Biryani
Arima Restaurant,Mogappair,2.9,₹500 for two,"South Indian, Chinese, Biryani, Sichuan"
Hotel Al-Ali,Vadapalani,4,₹300 for two,"Chinese, Chettinad, Biryani"
Velidis,Ramapuram,4.2,₹500 for two,"Andhra, Biryani, North Indian, Seafood, Chinese"
Hotel Millath,Royapettah,4,₹500 for two,"Mangalorean, Chettinad, Shake"
Club House - Taj Club House,Taj Club House Thousand Lights,4.2,"₹2,500 for two","North Indian, South Indian, Continental"
Grill-A-Delics,Perambur,4.2,₹500 for two,"Arabian, Chinese, Fast Food, Lebanese, North Indian, Sichuan"
Kostha Ruchulu,Mylapore,3.5,₹300 for two,"South Indian, Biryani, Chettinad"
Silver Spoon,Anna Nagar East,4.2,₹700 for two,"Biryani, North Indian, Mughlai, Chinese, Kebab, Seafood, Desserts, Beverages"
Sweetsoul Buddha Bowls,Hotel Rajpark Alwarpet,4,₹800 for two,"Healthy Food, Desserts"
Kites Pure Veg Multi Cuisine Restaurant,Kilpauk,2.6,₹600 for two,"North Indian, Chettinad, Fast Food, Street Food, Beverages"
Yummioza Chinese Restaurant,Vadapalani,3.2,₹500 for two,Chinese
Big Bull Lounge,Nandanam,New,"₹1,000 for two","Continental, Beverages"
Svar - Turyaa ,Turyaa,3.8,"₹1,500 for two","Thai, North Indian, Fast Food, Chinese"
Madurai Kumar Mess,Ashok Nagar,4.2,₹500 for two,"Chettinad, South Indian, Seafood"
Manpaanai Chettinadu Virundhu,GST Road,3.2,₹550 for two,"South Indian, Chinese, North Indian, Mughlai, Biryani, Beverages, Desserts"
Heaven's Park Restaurant,Thousand Lights,3.8,₹400 for two,"Arabian, Chinese, South Indian, Chettinad, Biryani, Mughlai, Fast Food, Sichuan"
Munveedu,Adyar,4,₹700 for two,"South Indian, Chettinad, Biryani, Chinese, Desserts"
Nandhiniee Sweets,Velachery,4.1,₹250 for two,"Mithai, Street Food, South Indian, Beverages"
The Summer House Eatery,Alwarpet,4.3,₹800 for two,"Fast Food, Mexican, Beverages, Italian, Continental, Desserts, Cafe, Shake"
The Summer House Eatery,Alwarpet,4.3,₹800 for two,"Fast Food, Mexican, Beverages, Italian, Continental, Desserts, Cafe, Shake"
Asia Seven,Phoenix Market City Velachery,2.8,₹600 for two,"Chinese, Asian, Momos, Fast Food, Beverages, Sichuan"
Est - Hilton ,Hilton Guindy,3.8,"₹1,500 for two","Continental, Cafe, Desserts, Italian, North Indian, Beverages, Coffee"
S3 Elite Family Dine,T. Nagar,3.7,₹700 for two,"Chinese, North Indian, Sichuan"
Rangis',Nungambakkam,4.2,₹600 for two,"Chinese, Asian, Sichuan"
Tasty Kitchen,Perambur,4.2,₹600 for two,"Chinese, Biryani, North Indian, Chettinad, Arabian, Lebanese, Seafood, Sichuan"
Brod Bakery,Injambakkam,3.4,₹250 for two,"Bakery, Desserts, Sandwich"
Amma Restaurant,T. Nagar,4.1,₹600 for two,"Chettinad, South Indian, North Indian"
Bamboo Kitchen,Anna Nagar East,3.6,"₹1,000 for two","Chinese, Thai, Sichuan"
Gilli Chai,Velachery,3.3,₹500 for two,"Cafe, Fast Food, Tea, Beverages, Ice Cream, Desserts, Shake"
Anandam,Hotel Maris Gopalapuram,3.8,₹550 for two,"South Indian, North Indian, Chinese, Desserts"
Cream Story,Anna Nagar East,3.7,₹300 for two,"Desserts, Ice Cream, Beverages"
Hotel Saivam,Washermenpet,2.7,₹350 for two,"North Indian, South Indian, Chinese"
Cafe Amin,Royapettah,4,₹600 for two,"Biryani, North Indian, BBQ, Mughlai, Kebab, Chinese, Desserts, Beverages"
North East Kitchen,Egmore,4.5,₹450 for two,"Chinese, Konkan, Momos, Seafood, Sichuan"
My Froyoland,Anna Nagar East,3.7,₹200 for two,"Desserts, Ice Cream, Frozen Yogurt"
Pappa Roti,Phoenix Market City Velachery,4.3,₹800 for two,"Cafe, Desserts, Shake"
Bazaar - Zone By The Park,Zone by The Park Pallikaranai,3.9,"₹1,100 for two","Thai, Chinese, Continental, North Indian, South Indian, Beverages, Desserts"
Mash Resto Cafe,Besant Nagar,4,₹800 for two,"Continental, Fast Food, Pasta, Burger, Sandwich, Beverages, Shake"
Cafeè 97,Thuraipakkam,4.2,₹700 for two,"North Indian, Chinese, Arabian, Sichuan"
Flipside,Alwarpet,3.7,₹600 for two,"Burger, Fast Food"
Oasis - Radisson Blu,Radisson Blu Egmore,3.9,"₹2,500 for two","North Indian, Chinese, Continental, South Indian, Pizza, Italian, Beverages"
Chidambaram New Moorthy Cafe,Anna Nagar West,4.1,₹600 for two,"Biryani, South Indian, Chettinad, North Indian, Chinese, Seafood, Desserts, Beverages"
Links,Purasavakkam,4.4,₹350 for two,"Fast Food, Street Food, Beverages"
